username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
ACUEDUCTOSPR,2017-11-21 15:32,0,0,"[Informamos] mañana, miércoles 22 de noviembre de 2017 #DemosGraciasJuntos en cualquiera de los #EmergencyStopAndGo iniciativa de la #PrimeraDama @BeatrizRossello #FelizDíaDeAcciónDeGracias pic.twitter.com/EjMblPzQz0",,@BeatrizRossello,#DemosGraciasJuntos #EmergencyStopAndGo #PrimeraDama #FelizD,9.33070620480418E+017,https://twitter.com/ACUEDUCTOSPR/status/933070620480417792,
ACUEDUCTOSPR,2017-11-21 09:18,3,5,Personal #RegiónMetro y confinados del #DepartamentoDeCorrección en iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Canóvanas #UnEquipo @LORNNASOTO pic.twitter.com/Z4gD2geEz3,,@BeatrizRossello @LORNNASOTO,#Regi #DepartamentoDeCorrecci #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Can #UnEquipo,9.32976430320845E+017,https://twitter.com/ACUEDUCTOSPR/status/932976430320844800,
ACUEDUCTOSPR,2017-11-21 07:24,1,11,Compartimos reportaje del @ElNuevoDia donde reseñan el impacto del huracán #María y los planes de utilizar energía alternas para nuestras instalaciones #PRSeLevanta #AAAparaTodos #UnEquipo pic.twitter.com/P0haHiY02R,,@ElNuevoDia,#Mar #PRSeLevanta #AAAparaTodos #UnEquipo,9.32947817643078E+017,https://twitter.com/ACUEDUCTOSPR/status/932947817643077632,
ACUEDUCTOSPR,2017-11-20 08:17,2,0,AAA anuncia horario oficinas comerciales por receso Acción de Gracias http://www. acueductospr.com/comunicados/de fault?docid=51AE15ACC77CEC44042581DE0045CC1F … pic.twitter.com/llaFvbe635,,,,9.32598879924744E+017,https://twitter.com/ACUEDUCTOSPR/status/932598879924744194,
ACUEDUCTOSPR,2017-11-19 10:55,0,0,"Buenos días, se cierra valvula 24"," por rotura en la calle Lisa donde esta los trabajo de rotura linea sanitaria. ML""",,,,9.32276190399861E+017,https://twitter.com/ACUEDUCTOSPR/status/932276190399860737
ACUEDUCTOSPR,2017-11-19 10:55,0,0,"Buenos días, se cierra valvula 24"," por rotura en la calle Lisa donde esta los trabajo de rotura linea sanitaria. ML""",,,,9.32276128361968E+017,https://twitter.com/ACUEDUCTOSPR/status/932276128361967617
ACUEDUCTOSPR,2017-11-19 10:55,0,0,"Buenos días, se cierra valvula 24"," por rotura en la calle Lisa donde esta los trabajo de rotura linea sanitaria. ML""",,,,9.32276060305154E+017,https://twitter.com/ACUEDUCTOSPR/status/932276060305154050
ACUEDUCTOSPR,2017-11-19 10:54,0,0,"Buenos días, se cierra valvula 24"," por rotura en la calle Lisa donde esta los trabajo de rotura linea sanitaria. ML""",,,,9.32275995880706E+017,https://twitter.com/ACUEDUCTOSPR/status/932275995880706048
ACUEDUCTOSPR,2017-11-19 10:46,3,3,Personal #RegiónOeste participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #SanGerman pic.twitter.com/72kK53dvIX,,@BeatrizRossello,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #SanGerman,9.32273845477741E+017,https://twitter.com/ACUEDUCTOSPR/status/932273845477740544,
ACUEDUCTOSPR,2017-11-19 10:40,12,18,Personal #RegiónMetro participan en iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Canóvanas #UnEquipo @LORNNASOTO pic.twitter.com/3ZRW5NGEuJ,,@BeatrizRossello @LORNNASOTO,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Can #UnEquipo,9.32272370961789E+017,https://twitter.com/ACUEDUCTOSPR/status/932272370961788930,
