username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
AEEONLINE,2017-11-21 15:04,3,22,"El trabajo en equipo es el mejor trabajo. Así se evidencia en estas labores traspatio, realizadas en Río Grande, en donde tenemos personal de distintas localidades dándole apoyo a las brigadas de Transmisión, así como a las de Distribución. ¡Seguimos! CC6 pic.twitter.com/GI0cNgoSFm",,,,9.33063686419337E+017,https://twitter.com/AEEONLINE/status/933063686419337216,
AEEONLINE,2017-11-21 13:21,3,19,Aviso de trabajos AEE de restauración del sistema en la zona Este. CC3 https://www. aeepr.com/Noticias/notic iasread.asp?r=ROXEBISNWK …,,,,9.33037711610515E+017,https://twitter.com/AEEONLINE/status/933037711610515457,
AEEONLINE,2017-11-21 12:44,21,40,Trabajos que realizan hoy nuestras brigadas en la Región San Juan. CC6 #PRSeLevanta pic.twitter.com/LZunn6C9Zy,,,#PRSeLevanta,9.33028430509171E+017,https://twitter.com/AEEONLINE/status/933028430509170688,
AEEONLINE,2017-11-21 12:44,5,8,Trabajos que realizan hoy nuestras brigadas en la Región Ponce. CC6 #PRSeLevanta pic.twitter.com/eXEigTzBya,,,#PRSeLevanta,9.33028390743019E+017,https://twitter.com/AEEONLINE/status/933028390743019520,
AEEONLINE,2017-11-21 12:44,12,11,Trabajos que realizan hoy nuestras brigadas en la Región Mayaguez. CC6 #PRSeLevanta pic.twitter.com/OdiPAaUmUd,,,#PRSeLevanta,9.33028314872246E+017,https://twitter.com/AEEONLINE/status/933028314872246273,
AEEONLINE,2017-11-21 12:44,11,16,Trabajos que realizan hoy nuestras brigadas en la Región Carolina. CC6 #PRSeLevanta pic.twitter.com/5pbACKP0oH,,,#PRSeLevanta,9.33028243749376E+017,https://twitter.com/AEEONLINE/status/933028243749376001,
AEEONLINE,2017-11-21 12:43,12,9,Trabajos que realizan hoy nuestras brigadas en la Región Caguas. CC6 #PRSeLevanta pic.twitter.com/ajUrZrBQEO,,,#PRSeLevanta,9.33028183309476E+017,https://twitter.com/AEEONLINE/status/933028183309475840,
AEEONLINE,2017-11-21 12:43,11,24,Trabajos que realizan hoy nuestras brigadas en la Región Bayamón. CC6 #PRSeLevanta pic.twitter.com/ffuxmOg9l6,,,#PRSeLevanta,9.33028116213223E+017,https://twitter.com/AEEONLINE/status/933028116213223424,
AEEONLINE,2017-11-21 12:43,3,11,Trabajos que realizan hoy nuestras brigadas en la Región Arecibo. CC6 #PRSeLevanta pic.twitter.com/O6c6GEEGVL,,,#PRSeLevanta,9.33028057480421E+017,https://twitter.com/AEEONLINE/status/933028057480421376,
AEEONLINE,2017-11-21 11:54,12,88,"Agradecemos a los niños peñolanos del Bo. Tallaboa Alta por sus muestras de cariño y la parranda ""improvisada"" para nuestro personal de la Técnica de Yauco, quienes energizaron anoche la Urb. Villa Esmeralda. ¡Seguimos! #PRSeLevanta CC6",,,#PRSeLevanta,9.3301566411309E+017,https://twitter.com/AEEONLINE/status/933015664113090560,
